index,"movie","name","point"
97,"뺑반","musi****","10"
98,"뺑반","hkcj****","10"
99,"뺑반","fene****","10"
100,"드래곤 길들이기 3","wowo****","10"
101,"헌터 킬러","chk2****","10"
102,"뺑반","kang****","2"
103,"피아니스트","kpu5****","10"
104,"너의 결혼식","tjdd****","8"
105,"친절한 금자씨","kkh8****","10"
106,"그린 북","iwil****","10"
107,"성난황소","tjdd****","6"
108,"극한직업","jote****","10"
109,"극한직업","bae0****","10"
110,"뺑반","enes****","1"
111,"뺑반","syb7****","10"
112,"극한직업","kako****","1"
113,"가버나움","unif****","10"
114,"극한직업","asd9****","10"
115,"드래곤 길들이기 3","emma****","8"
116,"뺑반","koni****","1"
117,"뺑반","kje4****","10"
118,"가버나움","gree****","10"
119,"극한직업","5835****","10"
120,"극한직업","mous****","10"
121,"극한직업","hyuk****","10"
122,"언니","leek****","7"
123,"극한직업","jhj8****","10"
124,"드래곤 길들이기 3","lwlq****","10"
125,"극한직업","jeon****","10"
126,"드래곤 길들이기 3","xd4q****","10"
127,"드래곤 길들이기 3","vimo****","10"
128,"드래곤 길들이기 3","evd4****","10"
129,"뺑반","mktm****","10"
130,"뺑반","phil****","10"
131,"드래곤 길들이기 3","kos5****","9"
132,"드래곤 길들이기 3","ekfg****","10"
133,"드래곤 길들이기 3","cyr2****","10"
134,"극한직업","kwon****","10"
135,"뺑반","miap****","10"
136,"보헤미안 랩소디","tjdd****","8"
137,"뺑반","namw****","1"
138,"드래곤 길들이기 3","wbvy****","10"
139,"뺑반","yh42****","9"
140,"드래곤 길들이기 3","m5bf****","10"
141,"극한직업","nexo****","1"
142,"청년경찰","ilif****","1"
143,"써니","chee****","10"
144,"드래곤 길들이기 3","nigh****","9"
145,"사운드 오브 뮤직","dyki****","6"
146,"뺑반","zlzm****","10"
147,"드래곤 길들이기 3","jun_****","10"
148,"극한직업","woor****","10"
149,"뺑반","chun****","2"
150,"노아","ambi****","2"
151,"뺑반","scul****","10"
152,"내안의 그놈","gui0****","8"
153,"뺑반","getm****","10"
154,"극한직업","j1h1****","7"
155,"드래곤 길들이기 3","twin****","9"
156,"극한직업","ilyo****","10"
157,"드래곤 길들이기 3","uuut****","10"
158,"극한직업","5424****","2"
159,"뺑반","dydd****","10"
160,"국가부도의 날","jun7****","10"
161,"뺑반","yeri****","10"
162,"아쿠아맨","jun7****","10"
163,"뺑반","rice****","10"
164,"패딩턴 2","endm****","10"
165,"러브 유어셀프 인 서울","dksr****","1"
166,"극한직업","km04****","10"
167,"극한직업","only****","10"
168,"안시성","yhtg****","1"
169,"끝까지 간다","onod****","7"
170,"뺑반","jun_****","1"
171,"뺑반","yaho****","2"
172,"극한직업","looo****","10"
173,"악마를 보았다","ambi****","9"
174,"드래곤 길들이기 3","ghn0****","10"
175,"지붕 위의 바이올린","dyki****","5"
176,"뺑반","n_n6****","10"
177,"주먹왕 랄프 2: 인터넷 속으로","yja0****","10"
178,"극한직업","gr99****","10"
179,"극한직업","tlst****","10"
180,"뺑반","ancl****","5"
181,"뺑반","bata****","10"
182,"스윙키즈","toom****","8"
183,"박쥐","sumi****","10"
184,"극한직업","a006****","10"
185,"드래곤 길들이기 3","vxmn****","10"
186,"뺑반","3375****","10"
187,"뺑반","dnck****","10"
188,"공작","joil****","8"
189,"나, 다니엘 블레이크","pje0****","10"
190,"극한직업","hotr****","10"
191,"주먹왕 랄프 2: 인터넷 속으로","wsc_****","10"
192,"내안의 그놈","hotr****","10"
193,"황해","beer****","10"
194,"극장판 포켓몬스터 모두의 이야기","hotr****","10"
195,"스파이더맨: 뉴 유니버스","hotr****","10"
196,"성난황소","hotr****","10"
197,"뺑반","jmk6****","10"
198,"목격자","hotr****","10"
199,"뺑반","gwho****","10"
0,"극한직업","duna****","2"
1,"극한직업","atye****","2"
2,"드래곤 길들이기 3","kjyc****","10"
3,"아쿠아맨","wyst****","10"
4,"필라델피아","win0****","10"
5,"메트로폴리스","asta****","10"
6,"붉은 거북","free****","8"
7,"몬스터 파크","gusw****","1"
8,"주먹왕 랄프 2: 인터넷 속으로","pp10****","10"
9,"말모이","pp10****","8"
10,"극한직업","wlsd****","10"
11,"뺑반","7015****","4"
12,"불량 공주 모모코","rvde****","10"
13,"일일시호일","ubin****","10"
14,"극한직업","jhim****","1"
15,"너의 췌장을 먹고 싶어","dct0****","10"
16,"PMC: 더 벙커","juny****","1"
17,"아쿠아맨","gtr9****","10"
18,"드래곤 길들이기 3","arcu****","10"
19,"뺑반","jkyt****","4"
20,"보헤미안 랩소디","syon****","10"
21,"극한직업","nanr****","9"
22,"스윙키즈","dhdl****","10"
23,"극한직업","ssjh****","10"
24,"너의 결혼식","pete****","10"
25,"밤은 짧아 걸어 아가씨야","psbo****","9"
26,"원티드","sung****","8"
27,"배드 지니어스","dct0****","9"
28,"극한직업","seos****","10"
29,"말모이","popo****","1"
30,"불량소녀, 너를 응원해!","dct0****","10"
31,"도어락","p_je****","6"
32,"극한직업","ourc****","10"
33,"극한직업","jiny****","8"
34,"극한직업","toma****","10"
35,"뺑반","asal****","10"
36,"범블비","hn00****","8"
37,"드래곤 길들이기 3","uvdt****","10"
38,"스타 이즈 본","kimj****","10"
39,"상류사회","vkor****","1"
40,"드래곤 길들이기 3","happ****","8"
41,"뺑반","babe****","10"
42,"스윙키즈","rkaw****","10"
43,"뺑반","fill****","7"
44,"모털 엔진","kkhd****","10"
45,"드래곤 길들이기 3","fill****","8"
46,"뺑반","gold****","1"
47,"드래곤 길들이기 3","tokk****","10"
48,"내안의 그놈","gger****","10"
49,"뺑반","mygi****","4"
50,"뺑반","mygi****","4"
51,"뺑반","glov****","10"
52,"극한직업","108g****","10"
53,"극한직업","hyko****","10"
54,"뺑반","rudr****","10"
55,"미래의 미라이","mjku****","7"
56,"딥","onio****","3"
57,"극한직업","hope****","10"
58,"극한직업","tang****","9"
59,"극한직업","shch****","10"
60,"뺑반","styn****","10"
61,"PMC: 더 벙커","tomm****","2"
62,"드래곤 길들이기 3","park****","10"
63,"콘트라밴드","dela****","7"
64,"극한직업","desi****","10"
65,"뺑반","avec****","8"
66,"극한직업","leun****","10"
67,"뺑반","au97****","10"
68,"뺑반","sumj****","5"
69,"퍼스트맨","pkc3****","10"
70,"극한직업","love****","10"
71,"극한직업","cvbn****","10"
72,"어거스트 러쉬","kimw****","8"
73,"드래곤 길들이기 3","nami****","10"
74,"뺑반","knig****","10"
75,"드래곤 길들이기 3","als-****","10"
76,"너의 결혼식","tom4****","10"
77,"미스트","yjsy****","4"
78,"뺑반","jhw2****","10"
79,"극한직업","2020****","10"
80,"뺑반","winn****","10"
81,"뺑반","woal****","1"
82,"뺑반","jhwy****","10"
83,"뺑반","yj11****","10"
84,"뺑반","lho4****","8"
85,"뺑반","fako****","10"
86,"드래곤 길들이기 3","ciel****","8"
87,"탐정: 리턴즈","dkfh****","10"
88,"독전","ksga****","6"
89,"노인을 위한 나라는 없다","kosu****","9"
90,"레토","kaze****","10"
91,"드래곤 길들이기 3","mjku****","9"
92,"뺑반","skun****","10"
93,"뺑반","bnb6****","10"
94,"뺑반","90_m****","10"
95,"극한직업","wngm****","10"
96,"뺑반","gowl****","10"
97,"뺑반","park****","2"
98,"뺑반","siks****","8"
99,"붉은 거북","yoms****","10"
100,"내안의 그놈","cpfl****","8"
101,"세 얼간이","yash****","10"
102,"극한직업","hyej****","10"
103,"글래스","bb24****","10"
104,"극한직업","nal_****","10"
105,"뺑반","jini****","10"
106,"극한직업","rlad****","10"
107,"뺑반","hyej****","10"
108,"가버나움","jkjy****","10"
109,"드래곤 길들이기 3","kkkm****","10"
110,"천사와 사랑을","thtl****","8"
111,"뺑반","pand****","10"
112,"뺑반","tang****","4"
113,"극한직업","khs2****","10"
114,"뺑반","chem****","10"
115,"뺑반","noru****","10"
116,"보헤미안 랩소디","jajb****","1"
117,"인생 후르츠","scot****","9"
118,"극한직업","rhff****","10"
119,"뺑반","yeul****","10"
120,"뺑반","mymj****","6"
121,"러브 유어셀프 인 서울","dang****","10"
122,"뺑반","hgj0****","3"
123,"뺑반","gpwj****","10"
124,"극한직업","durq****","1"
125,"뺑반","ocn2****","10"
126,"거미줄에 걸린 소녀","dlwn****","10"
127,"보헤미안 랩소디","jaso****","10"
128,"극한직업","blue****","10"
129,"피아니스트","oroz****","10"
130,"극한직업","anar****","10"
131,"일일시호일","bomn****","10"
132,"아쿠아맨","apol****","10"
133,"극한직업","lees****","2"
134,"극한직업","hana****","10"
135,"스윙키즈","thsd****","6"
136,"극한직업","koko****","2"
137,"완벽한 타인","yo87****","10"
138,"오아시스","chil****","10"
139,"뺑반","krr1****","1"
140,"아쿠아맨","kyd9****","10"
141,"그린 북","ckcy****","10"
142,"극한직업","khaw****","10"
143,"극한직업","a958****","10"
144,"메이트","ppym****","9"
